episode,background,family,fine_exposed,probe_exposed,innovation_changed,score_changed,ranking_changed,top_group_changed,gate_changed,schedule_changed,budget_blocked
b00_cancel_approx_1.0,0,cancel_approx,True,True,True,True,True,False,False,False,False
b00_cancel_approx_3.0,0,cancel_approx,True,True,True,True,True,False,False,False,False
b00_cancel_exact_1.0,0,cancel_exact,True,True,True,True,False,False,False,False,False
b00_cancel_exact_3.0,0,cancel_exact,True,True,True,True,True,False,False,False,False
b00_delayed_1.0,0,delayed,True,True,True,True,True,False,False,False,False
b00_delayed_3.0,0,delayed,True,True,True,True,True,False,False,False,False
b00_localized_1.0,0,localized,True,True,True,True,True,False,False,False,False
b00_localized_3.0,0,localized,True,True,True,True,True,True,False,False,False
b00_ramp_1.0,0,ramp,True,True,True,True,True,False,False,False,False
b00_ramp_3.0,0,ramp,True,True,True,True,True,False,False,False,False
b00_regional_1.0,0,regional,True,True,True,True,True,False,False,False,False
b00_regional_3.0,0,regional,True,True,True,True,True,True,False,False,False
b01_cancel_approx_1.0,1,cancel_approx,True,True,True,True,True,False,False,False,False
b01_cancel_approx_3.0,1,cancel_approx,True,True,True,True,True,True,False,False,False
b01_cancel_exact_1.0,1,cancel_exact,True,True,True,False,False,False,False,False,False
b01_cancel_exact_3.0,1,cancel_exact,True,True,True,True,True,False,False,False,False
b01_delayed_1.0,1,delayed,True,True,True,True,True,False,False,False,False
b01_delayed_3.0,1,delayed,True,True,True,True,True,False,False,False,False
b01_localized_1.0,1,localized,True,False,True,True,False,False,False,False,False
b01_localized_3.0,1,localized,True,False,True,True,False,False,False,False,False
b01_ramp_1.0,1,ramp,True,True,True,True,True,False,False,False,False
b01_ramp_3.0,1,ramp,True,True,True,True,True,True,False,False,False
b01_regional_1.0,1,regional,True,True,True,True,True,False,False,False,False
b01_regional_3.0,1,regional,True,True,True,True,True,False,False,False,False
b02_cancel_approx_1.0,2,cancel_approx,True,True,True,True,True,False,False,False,False
b02_cancel_approx_3.0,2,cancel_approx,True,True,True,True,True,False,False,False,False
b02_cancel_exact_1.0,2,cancel_exact,True,True,True,True,True,False,False,False,False
b02_cancel_exact_3.0,2,cancel_exact,True,True,True,True,True,False,False,False,False
b02_delayed_1.0,2,delayed,True,True,True,True,True,False,False,False,False
b02_delayed_3.0,2,delayed,True,True,True,True,True,True,False,False,False
b02_localized_1.0,2,localized,True,True,True,True,False,False,False,False,False
b02_localized_3.0,2,localized,True,True,True,True,True,True,False,False,False
b02_ramp_1.0,2,ramp,True,True,True,True,True,False,False,False,False
b02_ramp_3.0,2,ramp,True,True,True,True,True,False,False,False,False
b02_regional_1.0,2,regional,True,True,True,True,True,False,False,False,False
b02_regional_3.0,2,regional,True,True,True,True,True,True,False,False,False
b03_cancel_approx_1.0,3,cancel_approx,True,True,True,True,True,False,False,False,False
b03_cancel_approx_3.0,3,cancel_approx,True,True,True,True,True,False,False,False,False
b03_cancel_exact_1.0,3,cancel_exact,True,True,True,True,True,True,False,False,False
b03_cancel_exact_3.0,3,cancel_exact,True,True,True,True,True,True,False,False,False
b03_delayed_1.0,3,delayed,True,True,True,True,True,False,False,False,False
b03_delayed_3.0,3,delayed,True,True,True,True,True,False,False,False,False
b03_localized_1.0,3,localized,True,True,True,True,True,False,False,False,False
b03_localized_3.0,3,localized,True,True,True,True,True,False,False,False,False
b03_ramp_1.0,3,ramp,True,True,True,True,True,False,False,False,False
b03_ramp_3.0,3,ramp,True,True,True,True,True,True,False,False,False
b03_regional_1.0,3,regional,True,True,True,True,True,False,False,False,False
b03_regional_3.0,3,regional,True,True,True,True,True,False,False,False,False
b04_cancel_approx_1.0,4,cancel_approx,True,True,True,True,True,False,False,False,False
b04_cancel_approx_3.0,4,cancel_approx,True,True,True,True,True,True,False,False,False
b04_cancel_exact_1.0,4,cancel_exact,True,True,True,True,True,False,False,False,False
b04_cancel_exact_3.0,4,cancel_exact,True,True,True,True,True,False,False,False,False
b04_delayed_1.0,4,delayed,True,True,True,True,True,False,False,False,False
b04_delayed_3.0,4,delayed,True,True,True,True,True,False,False,False,False
b04_localized_1.0,4,localized,True,True,True,True,True,False,False,False,False
b04_localized_3.0,4,localized,True,True,True,True,True,False,False,False,False
b04_ramp_1.0,4,ramp,True,True,True,True,True,False,False,False,False
b04_ramp_3.0,4,ramp,True,True,True,True,True,False,False,False,False
b04_regional_1.0,4,regional,True,True,True,True,True,False,False,False,False
b04_regional_3.0,4,regional,True,True,True,True,True,False,False,False,False
b05_cancel_approx_1.0,5,cancel_approx,True,True,True,True,True,False,False,False,False
b05_cancel_approx_3.0,5,cancel_approx,True,True,True,True,True,False,False,False,False
b05_cancel_exact_1.0,5,cancel_exact,True,True,True,False,False,False,False,False,False
b05_cancel_exact_3.0,5,cancel_exact,True,True,True,True,True,False,False,False,False
b05_delayed_1.0,5,delayed,True,True,True,True,True,False,False,False,False
b05_delayed_3.0,5,delayed,True,True,True,True,True,False,False,False,False
b05_localized_1.0,5,localized,True,True,True,True,True,False,False,False,False
b05_localized_3.0,5,localized,True,True,True,True,True,False,False,False,False
b05_ramp_1.0,5,ramp,True,True,True,True,True,False,False,False,False
b05_ramp_3.0,5,ramp,True,True,True,True,True,False,False,False,False
b05_regional_1.0,5,regional,True,True,True,True,True,False,False,False,False
b05_regional_3.0,5,regional,True,True,True,True,True,True,False,False,False
b06_cancel_approx_1.0,6,cancel_approx,True,True,True,True,True,False,False,False,False
b06_cancel_approx_3.0,6,cancel_approx,True,True,True,True,True,False,False,False,False
b06_cancel_exact_1.0,6,cancel_exact,True,True,True,True,True,True,False,False,False
b06_cancel_exact_3.0,6,cancel_exact,True,True,True,True,True,True,False,False,False
b06_delayed_1.0,6,delayed,True,True,True,True,True,False,False,False,False
b06_delayed_3.0,6,delayed,True,True,True,True,True,False,False,False,False
b06_localized_1.0,6,localized,True,True,True,True,True,False,False,False,False
b06_localized_3.0,6,localized,True,True,True,True,True,True,False,False,False
b06_ramp_1.0,6,ramp,True,True,True,True,True,False,False,False,False
