cohort,method,demand_episodes,detected,localized,miss_inclusive_delay_hours,local_episodes,backgrounds,local_one_hour_mae,local_six_hour_mae,negative_alarms,negative_steps
B,M0,96,37,20,2.4375,80,8,0.17770166475734556,0.19252138285372628,36,384
B,M1,96,17,11,3.03125,80,8,0.17620599980324408,0.18826833061596945,15,384
B,M2,96,33,14,2.640625,80,8,0.1710477767209539,0.18634644136600467,25,384
B,M3,96,29,15,2.6614583333333335,80,8,0.16959472700198724,0.18583761459583034,30,384
B,M3_fixed,96,29,15,2.6614583333333335,80,8,0.16959472700198724,0.18583761459583034,30,384
B,M4,96,42,15,2.2395833333333335,80,8,0.1385861241579701,0.1825688408801294,41,384
C,M0,12,10,5,1.375,12,4,0.2751680755272115,0.28885863345846613,19,192
C,M2,12,8,2,2.1666666666666665,12,4,0.2666804007239337,0.2809860624044706,14,192
C,M3,12,6,2,2.2916666666666665,12,4,0.2621269143205217,0.27975022344189565,15,192
C,M3b,12,4,2,2.7083333333333335,12,4,0.2660244222297946,0.28228467034978616,14,192
C,M3b_fixed,12,4,2,2.7083333333333335,12,4,0.2660244222297946,0.28228467034978616,14,192
C,M4,12,9,3,1.3333333333333333,12,4,0.20527646165004798,0.27571722516594116,31,192
