building,site,timezone,training_valid_fraction,complete_training_days,training_scale,reason,training_missing,training_negative,training_zero,selected
Bear_assembly_Angel,Bear,US/Pacific,0.6227189781021898,154,522.3348349450549,training_valid_fraction_below_0.95,2481,0,0,False
Bear_assembly_Beatrice,Bear,US/Pacific,0.9998479318734793,272,44.297785292775664,eligible,1,0,0,True
Bear_assembly_Danial,Bear,US/Pacific,0.19114963503649635,52,174.44675107398567,training_valid_fraction_below_0.95,5319,0,0,False
Bear_assembly_Diana,Bear,US/Pacific,0.6724452554744526,183,0.8554263681592039,training_valid_fraction_below_0.95,2154,0,2,False
Bear_assembly_Genia,Bear,US/Pacific,0.9984793187347932,270,251.7760542187024,eligible,10,0,0,False
Bear_assembly_Harry,Bear,US/Pacific,0.08378953771289538,20,18.746987477313972,training_valid_fraction_below_0.95,6025,0,0,False
Bear_assembly_Jose,Bear,US/Pacific,0.9998479318734793,272,258.088964365019,eligible,1,0,0,False
Bear_assembly_Roxy,Bear,US/Pacific,0.9736922141119222,243,16.79417699515852,eligible,173,0,0,False
Bear_assembly_Ruby,Bear,US/Pacific,0.9998479318734793,272,69.126840243346,eligible,1,0,0,False
Bear_education_Alfredo,Bear,US/Pacific,0.9995437956204379,271,0.18189901110603987,eligible,3,0,0,False
Bear_education_Alvaro,Bear,US/Pacific,0.9992396593673966,268,444.81671252472984,eligible,5,0,0,False
Bear_education_Arnold,Bear,US/Pacific,0.9849452554744526,237,0.5384956924502085,eligible,99,0,2,False
Bear_education_Augusta,Bear,US/Pacific,0.9989355231143552,266,115.26317092403714,eligible,7,0,0,False
Bear_education_Austin,Bear,US/Pacific,0.9998479318734793,272,22.33459241064639,eligible,1,0,0,False
Bear_education_Babara,Bear,US/Pacific,0.9896593673965937,256,368.6416924400737,eligible,68,0,0,False
Bear_education_Benita,Bear,US/Pacific,0.9996958637469586,271,486.96746508974746,eligible,2,0,0,False
Bear_education_Benjamin,Bear,US/Pacific,0.03923357664233577,0,0.0,training_valid_fraction_below_0.95,6318,0,258,False
Bear_education_Bob,Bear,US/Pacific,0.9998479318734793,272,124.77769198479088,eligible,1,0,0,False
Bear_education_Bonita,Bear,US/Pacific,0.9875304136253041,248,0.1949273021250385,eligible,82,0,0,False
Bear_education_Bulah,Bear,US/Pacific,0.9998479318734793,272,1303.2074179467681,eligible,1,0,4,False
Bear_education_Carlo,Bear,US/Pacific,0.16621046228710462,43,6.916910887465691,training_valid_fraction_below_0.95,5483,0,0,False
Bear_education_Chad,Bear,US/Pacific,0.9965024330900243,269,919.7018530749276,eligible,23,0,0,False
Bear_education_Chana,Bear,US/Pacific,0.9998479318734793,272,21.265848425855513,eligible,1,0,0,False
Bear_education_Chun,Bear,US/Pacific,0.9998479318734793,272,94.32406431939162,eligible,1,0,0,False
Bear_education_Clint,Bear,US/Pacific,0.9989355231143552,266,58.45678208250875,eligible,7,0,0,False
Bear_education_Curtis,Bear,US/Pacific,0.9983272506082725,269,69.21117479055597,eligible,11,0,0,False
Bear_education_Danna,Bear,US/Pacific,0.9998479318734793,272,102.135768365019,eligible,1,0,0,False
Bear_education_Darrell,Bear,US/Pacific,0.9998479318734793,272,44.088467543726246,eligible,1,0,0,False
Bear_education_Deborah,Bear,US/Pacific,0.9931569343065694,251,0.9712588883785025,eligible,45,0,2431,False
Bear_education_Deena,Bear,US/Pacific,0.9986313868613139,271,9.098369148774173,eligible,9,0,0,False
Bear_education_Derek,Bear,US/Pacific,0.9980231143552312,261,182.6183493067195,eligible,13,0,0,False
Bear_education_Destiny,Bear,US/Pacific,0.7601885644768857,205,147.4286525305061,training_valid_fraction_below_0.95,1577,0,0,False
Bear_education_Elise,Bear,US/Pacific,0.9998479318734793,272,141.6612015513308,eligible,1,0,0,False
Bear_education_Fannie,Bear,US/Pacific,0.961830900243309,223,441.85330765217395,eligible,251,0,0,False
Bear_education_Gavin,Bear,US/Pacific,0.9993917274939172,269,86.54436888314058,eligible,4,0,0,False
Bear_education_Herb,Bear,US/Pacific,0.9998479318734793,272,13.695745809885931,eligible,1,0,0,False
Bear_education_Herman,Bear,US/Pacific,0.9998479318734793,272,0.30527301901140685,eligible,1,0,0,False
Bear_education_Holly,Bear,US/Pacific,0.9952858880778589,260,1.2319821543162721,eligible,31,0,0,False
Bear_education_Irene,Bear,US/Pacific,0.9998479318734793,272,94.78612196197719,eligible,1,0,0,False
Bear_education_Iris,Bear,US/Pacific,0.9998479318734793,272,41.74752512547529,eligible,1,0,0,False
Bear_education_Katy,Bear,US/Pacific,0.9998479318734793,272,119.2931969581749,eligible,1,0,0,False
Bear_education_Lashanda,Bear,US/Pacific,0.9998479318734793,272,65.89197537642586,eligible,1,0,0,False
